                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4362,                0.79251,                 1.0228,                0.82131,                0.78745,                0.84788,                0.47064,                  1.436,                0.78894,                 1.0234,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.4089,                0.77692,                 1.0176,                0.82181,                0.78099,                0.84903,                0.46768,                  1.448,                0.78053,                 1.0282,               0.001307,               0.001307,               0.001307
                     37,                 1.4056,                0.76148,                  1.013,                0.82569,                0.78674,                 0.8455,                0.47106,                 1.4198,                0.78116,                 1.0194,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4109,                0.76809,                 1.0081,                0.82684,                0.79793,                0.85566,                0.47859,                  1.418,                0.76699,                 1.0176,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.3935,                0.74765,                  1.009,                0.83584,                0.76536,                0.85066,                0.47736,                 1.4224,                0.77066,                 1.0196,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4016,                0.75917,                 1.0128,                0.84207,                0.78099,                0.85986,                0.47781,                 1.4216,                0.76477,                 1.0177,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4004,                0.75833,                  1.012,                 0.8434,                0.78502,                0.85889,                0.47925,                 1.4275,                0.76292,                 1.0185,               0.001208,               0.001208,               0.001208
                     42,                 1.3741,                0.74826,                 1.0068,                0.83241,                0.78289,                0.85478,                0.47495,                 1.4266,                0.77611,                 1.0193,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4041,                0.75916,                 1.0102,                0.83497,                0.78448,                0.85485,                0.47823,                 1.4231,                0.77011,                 1.0173,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3725,                 0.7479,                 1.0141,                0.84084,                0.78013,                0.85508,                0.47941,                 1.4188,                 0.7569,                 1.0181,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.3863,                0.74322,                 1.0056,                0.82738,                0.79369,                0.85459,                0.47297,                 1.4368,                0.78157,                 1.0254,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.3789,                0.74325,                 1.0035,                0.83294,                0.78035,                0.85517,                0.47688,                 1.4246,                0.76677,                 1.0219,               0.001109,               0.001109,               0.001109
                     47,                 1.3822,                0.73226,                 1.0002,                0.83588,                 0.7921,                  0.859,                0.47826,                 1.4255,                0.76358,                 1.0202,              0.0010892,              0.0010892,              0.0010892
                     48,                  1.375,                0.73595,                 1.0054,                0.84436,                0.77728,                 0.8572,                0.47976,                 1.4217,                0.76082,                 1.0206,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3657,                0.72449,                0.99758,                0.83479,                0.78841,                0.85043,                0.47801,                 1.4147,                0.77453,                 1.0171,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3784,                0.73306,                 1.0011,                0.83856,                0.79616,                0.86256,                0.48414,                  1.413,                0.75617,                 1.0203,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3629,                0.72425,                0.99781,                0.82434,                0.76744,                0.84261,                0.47276,                 1.4123,                0.77967,                 1.0155,                0.00101,                0.00101,                0.00101
                     52,                 1.3638,                0.71169,                 0.9928,                0.85245,                0.78967,                0.85648,                0.48107,                 1.4186,                0.75532,                 1.0182,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3549,                0.71885,                 1.0002,                0.82634,                0.79634,                0.85605,                0.48375,                 1.4168,                0.74658,                 1.0186,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3527,                0.71738,                0.99656,                0.83788,                0.78798,                0.85607,                0.48242,                 1.4048,                0.75875,                 1.0174,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3389,                0.71215,                 0.9953,                0.84447,                0.80122,                0.86438,                0.48558,                  1.409,                0.75208,                 1.0171,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3628,                0.71101,                 0.9949,                0.83602,                0.79327,                0.85669,                 0.4811,                 1.4149,                0.75874,                 1.0188,               0.000911,               0.000911,               0.000911
                     57,                 1.3602,                0.71175,                0.99108,                0.84834,                0.78988,                0.85717,                0.48674,                  1.399,                0.74955,                 1.0141,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.342,                  0.702,                0.98958,                0.82857,                0.79422,                0.85195,                0.47738,                 1.4312,                0.74957,                 1.0215,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.3413,                 0.6997,                0.99324,                0.85175,                0.79221,                0.85728,                0.48712,                 1.4009,                0.74986,                 1.0141,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.3285,                 0.6887,                0.99037,                0.84044,                0.79793,                0.86107,                0.48986,                 1.3942,                0.73735,                 1.0109,              0.0008318,              0.0008318,              0.0008318
                     61,                  1.332,                0.69152,                 0.9902,                0.83754,                0.78856,                0.85888,                0.48334,                 1.4088,                0.73962,                 1.0155,               0.000812,               0.000812,               0.000812
                     62,                 1.3409,                0.69878,                0.99057,                0.83544,                0.79486,                0.85542,                0.48526,                  1.405,                0.75793,                 1.0164,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.329,                 0.6877,                0.98588,                0.84797,                0.79909,                0.86584,                0.49192,                 1.3915,                0.74267,                 1.0127,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.3259,                0.68252,                 0.9834,                0.84263,                0.80654,                0.85997,                0.48891,                 1.3968,                0.74267,                 1.0124,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.3202,                0.68681,                0.98695,                0.85008,                0.80322,                0.86731,                0.49163,                 1.4096,                 0.7284,                 1.0148,              0.0007328,              0.0007328,              0.0007328
                     66,                  1.313,                0.67388,                0.98454,                0.83477,                0.80819,                0.86004,                0.48518,                 1.4106,                0.75601,                  1.019,               0.000713,               0.000713,               0.000713
                     67,                 1.3181,                 0.6766,                0.98597,                0.84259,                  0.801,                0.85647,                0.48747,                 1.4091,                0.73521,                 1.0186,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.3072,                0.67529,                0.98318,                0.84867,                0.79951,                0.86376,                0.48832,                 1.4066,                0.74495,                 1.0154,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.3058,                0.66553,                0.97926,                0.84942,                0.79994,                0.86337,                0.49062,                 1.4014,                0.73664,                 1.0161,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3089,                0.67005,                 0.9803,                0.84728,                0.79676,                0.85951,                0.48717,                 1.4036,                0.74499,                 1.0165,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.3079,                0.67048,                0.97909,                0.85491,                0.79253,                0.86632,                0.48802,                 1.3998,                0.74534,                 1.0122,               0.000614,               0.000614,               0.000614
                     72,                 1.2934,                0.66745,                0.97861,                 0.8463,                0.80449,                0.86473,                0.48888,                 1.4031,                0.73318,                 1.0166,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.2974,                   0.66,                0.97836,                 0.8472,                0.80576,                0.86476,                0.49186,                 1.3991,                0.73449,                 1.0157,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.3025,                0.66319,                0.97812,                0.84617,                0.80544,                 0.8652,                 0.4906,                 1.3976,                0.73354,                 1.0141,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.2955,                0.66447,                0.97929,                0.84618,                0.81084,                0.86549,                0.49125,                 1.3978,                0.73011,                 1.0126,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.2832,                0.65281,                0.97407,                0.85242,                0.79814,                0.86217,                0.49123,                 1.3947,                0.73787,                 1.0118,               0.000515,               0.000515,               0.000515
                     77,                 1.2848,                0.64626,                0.97334,                0.85321,                0.80216,                0.86075,                0.49021,                 1.3942,                0.73554,                 1.0113,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.2827,                0.64934,                0.97165,                0.85082,                0.80756,                0.86535,                0.49246,                 1.3956,                 0.7252,                 1.0124,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.2634,                0.64145,                0.97351,                0.85498,                0.80078,                0.86669,                0.49158,                 1.4026,                0.73148,                 1.0146,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2788,                0.63849,                0.96931,                0.85699,                0.80131,                0.86333,                0.49229,                 1.3955,                0.72684,                 1.0134,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.2733,                0.64261,                0.97075,                0.85026,                0.80605,                0.86758,                0.49542,                 1.3943,                0.72579,                 1.0138,               0.000416,               0.000416,               0.000416
                     82,                 1.2691,                0.64204,                0.97275,                0.85004,                0.80438,                0.86352,                0.49242,                 1.3989,                0.73023,                 1.0123,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.2698,                0.63434,                0.96421,                0.85917,                0.80657,                0.86794,                  0.496,                 1.3922,                0.72555,                 1.0114,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.2659,                0.64215,                0.96756,                0.85872,                0.81003,                0.86667,                0.49673,                 1.3909,                0.71723,                 1.0101,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2631,                0.63236,                0.96731,                0.85559,                0.80544,                0.86438,                0.49327,                 1.3948,                0.72376,                 1.0128,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2652,                 0.6328,                0.96273,                0.85164,                0.80576,                0.86509,                0.49532,                  1.392,                0.72422,                 1.0141,               0.000317,               0.000317,               0.000317
                     87,                 1.2582,                0.62812,                0.96622,                0.85065,                0.80129,                0.86696,                0.49525,                 1.3933,                0.72498,                 1.0111,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.2579,                0.62483,                0.96166,                 0.8557,                0.81232,                0.86496,                0.49468,                  1.393,                0.72886,                 1.0123,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.2458,                0.61905,                0.96051,                0.85444,                 0.8119,                0.86681,                0.49606,                 1.3903,                 0.7219,                 1.0116,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.2558,                0.62316,                0.96082,                0.85753,                0.80979,                 0.8661,                0.49672,                 1.3884,                0.72598,                 1.0123,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.2731,                0.61517,                0.97633,                0.85067,                0.80819,                0.86692,                0.49406,                 1.3999,                0.72506,                 1.0141,               0.000218,               0.000218,               0.000218
                     92,                 1.2608,                0.60389,                0.97019,                 0.8482,                0.80555,                0.86412,                0.49258,                 1.3998,                0.72738,                 1.0139,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.2584,                0.60033,                0.96818,                 0.8524,                0.80989,                0.86649,                 0.4945,                 1.3921,                 0.7263,                 1.0111,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.2567,                0.59639,                0.96757,                0.85101,                0.81141,                0.86554,                0.49408,                  1.395,                0.72211,                  1.013,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.2376,                0.59383,                0.96187,                0.85612,                0.80561,                0.86651,                 0.4954,                 1.3932,                0.72263,                 1.0109,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.2429,                0.59059,                0.96464,                0.85244,                0.81232,                0.86826,                0.49594,                 1.3937,                0.72063,                 1.0105,               0.000119,               0.000119,               0.000119
                     97,                 1.2391,                0.58876,                 0.9634,                0.85085,                0.81157,                0.86668,                0.49582,                 1.3943,                0.72269,                 1.0114,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.2433,                0.58665,                0.96307,                0.84495,                0.81511,                0.86514,                0.49406,                 1.3963,                0.72231,                 1.0134,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.2361,                0.58709,                0.95981,                0.85436,                0.80912,                0.86648,                0.49655,                  1.393,                0.72541,                 1.0135,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.2327,                0.58499,                0.96408,                0.85467,                0.81117,                0.86686,                0.49657,                 1.3916,                0.72092,                 1.0124,               3.98e-05,               3.98e-05,               3.98e-05
